深度(m),工具长度(m) ,圆心X(m), 圆心Y(m),直径(m) ,当前段耗时(s),总耗时(s)
4395.500,1.000000,-0.000071,-0.001401,0.110352,1.013092,191.886735
4396.000,1.000000,-0.000101,-0.001444,0.110414,0.988195,192.874930
4396.500,1.000000,-0.000016,-0.001454,0.110233,0.991845,193.866776
4397.000,1.000000,-0.000025,-0.000230,0.110392,1.026292,194.893068
4397.500,1.000000,0.000040,-0.000078,0.109997,0.999107,195.892174
4398.000,1.000000,-0.000078,-0.000308,0.109269,1.000820,196.892994
4398.500,1.000000,-0.000011,-0.001420,0.109912,1.008650,197.901644
4399.000,1.000000,-0.000038,-0.001387,0.110157,1.019438,198.921083
4399.500,1.000000,-0.000063,-0.001316,0.109985,1.001630,199.922713
4400.000,1.000000,-0.001252,-0.000185,0.109867,0.995188,200.917900
